日付,タイトル案,カテゴリ,メモ,ステータス
2026-08-07,リモートワークに必要な技術・同期/非同期力,働き方,,未着手
2026-08-07,可解析性の高いマーケティング動画コンテンツの作り方,マーケティング,,未着手
2026-08-07,自分は特別じゃないと思うことで救われた話,エッセイ,,未着手
2026-08-07,この後会う人のためにnoteを書いておきたいと思った話,エッセイ,,未着手
2026-08-07,文化資本、社会資本、経済資本,学び,,未着手
2026-08-07,オーストラリアで実践した2026年最新ノマド術,オーストラリア,,未着手
2026-08-07,正しい方向の努力の話,学び,,未着手
2026-08-07,心の底から親切になる方法（まずは自分が満たされる）,エッセイ,,未着手
2026-08-07,英語と日本語、認知の方法が違う話（特に会話してて思うこと）,言語,,未着手
2026-08-07,オーストラリアでのライフスタイル,オーストラリア,,未着手
2026-08-07,オーストラリアに来て考えたこと,オーストラリア,,未着手
2026-08-07,日本に帰ってこれからやりたいこと,エッセイ,,未着手
2026-08-07,出社回帰は会社が楽して戻してるだけ説,働き方,,未着手
